link_text,link_location
Defense Makes Final Case; Prosecution Says ‘George Floyd Was Not a Threat’,https://www.nytimes.com/live/2021/04/19/us/derek-chauvin-trial/
Minneapolis Braces for Verdict in Trial Over George Floyd’s Death,https://www.nytimes.com/2021/04/19/us/derek-chauvin-trial-verdict-george-floyd.html
The Chauvin Trial and the History of Police Violence,https://www.nytimes.com/interactive/2021/04/19/us/derek-chauvin-police-killings.html
"As new police reform laws sweep across the U.S., some ask: Are they enough?",https://www.nytimes.com/2021/04/18/us/police-reform-bills.html
‘We Were Left With Nothing.’ Argentina’s Misery Deepens in the Pandemic.,https://www.nytimes.com/2021/04/19/business/argentina-economy.html
"With Universal Eligibility, a Fifth of Seniors Remain Unvaccinated",https://www.nytimes.com/interactive/2021/04/19/us/vaccine-rollout-seniors.html
"All U.S. Adults Are Allowed Coronavirus Vaccine, Hitting Biden’s Goal",https://www.nytimes.com/live/2021/04/19/world/covid-vaccine-coronavirus-cases/
Tracking the Coronavirus ›,https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html
NASA’s Mars Helicopter Completes First Flight on Another Planet,https://www.nytimes.com/2021/04/19/science/nasa-mars-helicopter.html
Why Political Sectarianism Is a Growing Threat to American Democracy,https://www.nytimes.com/2021/04/19/us/democracy-gop-democrats-sectarianism.html
Progressive lawmakers unveiled legislation that would pour $100 billion into modernizing public housing.,https://www.nytimes.com/2021/04/19/us/politics/progressives-infrastructure-legislation.html
President Biden will discuss infrastructure with lawmakers from both parties. Here’s the latest from Washington.,https://www.nytimes.com/live/2021/04/19/us/joe-biden-news/
"Fleeing a Modern War, Syrians Seek Refuge in Ancient Ruins",https://www.nytimes.com/2021/04/19/world/middleeast/fleeing-a-modern-war-syrians-seek-refuge-in-ancient-ruins.html
"Weeks Into Hunger Strike, Navalny Is Transferred to Hospital",https://www.nytimes.com/2021/04/19/world/europe/navalny-hospital-prison-russia.html
"Aleksei Navalny, the high-profile Russian opposition leader, has been on hunger strike for nearly three weeks. The U.S. has warned of “consequences” should he die.",https://www.nytimes.com/2021/04/19/world/europe/navalny-hospital-prison-russia.html
There’s a Booming Business in U.S. Forests. Some Aren’t Happy About It.,https://www.nytimes.com/2021/04/19/climate/wood-pellet-industry-climate.html
They Told Her Women Couldn’t Join the Ambulance Corps. So She Started Her Own.,https://www.nytimes.com/2021/04/19/us/ezras-nashim-womens-EMT.html
,https://www.nytimes.com/2021/04/19/well/mind/covid-mental-health-languishing.html
,https://www.nytimes.com/2021/04/19/sports/basketball/why-the-worst-nba-player-is-probably-still-better-than-you.html
,https://www.nytimes.com/2021/04/16/nyregion/coronavirus-nyc-reopening.html
